ndsi,smi,savi,bsi
-0.06962542,0.06962542,0.21617332,44866.80859
-0.0955332,0.0955332,0.28587672,43588.82422
-0.08169562,0.08169562,0.24670716,42941.78906
-0.10481537,0.10481537,0.25563309,41917.75
-0.13939284,0.13939284,0.2409844,42551.78516
-0.11343297,0.11343297,0.24026735,43567.83594
-0.0761581,0.0761581,0.23137407,41793.79688
-0.10088399,0.10088399,0.21007432,42185.8125
-0.09659398,0.09659398,0.20415878,41407.77344
-0.11894761,0.11894761,0.2177425,39924.72656
-0.15228452,0.15228452,0.19452314,41385.80078
-0.09960974,0.09960974,0.19298539,40576.85156
-0.06311579,0.06311579,0.11995541,42126.83984
-0.07394159,0.07394159,0.1836358,40703.8125
-0.08794726,0.08794726,0.16997042,41354.76563
-0.12260926,0.12260926,0.22315456,43146.82031
-0.09101936,0.09101936,0.22602974,38700.78516
-0.11868214,0.11868214,0.09194002,40887.76953
-0.12405836,0.12405836,0.18817577,46632.00391
0.04733,-0.04733,0.18121624,47249.01953
0.05723323,-0.05723323,0.18273258,46802.99609
0.0383704,-0.0383704,0.18955214,45804.94141
0.00086526,-0.00086526,0.21393393,45468.96094
0.01157091,-0.01157091,0.17664297,45351.96875
0.01963783,-0.01963783,0.17367011,46344.94141
-0.00909939,0.00909939,0.21136048,44968.94531
0.00559747,-0.00559747,0.18974429,43392.95703
0.01883207,-0.01883207,0.136832,42849.94531
0.00571631,-0.00571631,0.12421281,43959.97656
0.02543131,-0.02543131,0.1254707,44150.96875
0.02342797,-0.02342797,0.14448616,44816.98828
0.03977435,-0.03977435,0.15352307,44006.97656
0.03230438,-0.03230438,0.13669801,42111.9375
0.00287448,-0.00287448,0.10927567,41737.9375
0.00324675,-0.00324675,0.09745038,45394.90234
-0.03354156,0.03354156,0.23365442,45102.89453
-0.03373484,0.03373484,0.24116471,43817.89844
-0.03038007,0.03038007,0.19046736,43899.83984
-0.07226849,0.07226849,0.24209668,42698.76172
-0.13228631,0.13228631,0.24723372,41014.79297
-0.11248986,0.11248986,0.17000598,42558.76563
-0.1298518,0.1298518,0.24749301,39259.74609
-0.14887016,0.14887016,0.14277264,39187.78516
-0.11625253,0.11625253,0.1183785,42102.78516
-0.11902164,0.11902164,0.20748261,37768.77734
-0.11361876,0.11361876,0.08427983,37208.73828
-0.14836727,0.14836727,0.08961336,41454.76953
-0.11799532,0.11799532,0.22651137,42100.73047
-0.15123346,0.15123346,0.26276773,37807.76563
-0.12745748,0.12745748,0.09159889,37891.75391
-0.13533959,0.13533959,0.10748933,41559.73047
-0.15503448,0.15503448,0.23830062,39744.75781
-0.13547479,0.13547479,0.15811495,43819.84766
-0.06834336,0.06834336,0.23242174,47137.93359
-0.00582568,0.00582568,0.25831792,42819.85156
-0.06602736,0.06602736,0.19555026,41681.83203
-0.07658947,0.07658947,0.17588758,44607.92578
-0.01226741,0.01226741,0.19289993,45272.96484
0.01841925,-0.01841925,0.17788495,46276.98828
0.03634031,-0.03634031,0.18505765,45900.96484
0.01439646,-0.01439646,0.18590596,42657.92188
-0.01218966,0.01218966,0.12910827,42922.90234
-0.02944171,0.02944171,0.15172969,43881.84766
-0.06803951,0.06803951,0.23150818,44552.84375
-0.06992438,0.06992438,0.26503924,43925.9375
